prefix	input_text	target_text
translate pcm to english	Some dey sleep with dia papa wife, while odas dey force and sleep with woman wey dey si en period.	In you they have let the shame of their fathers be seen; in you they have done wrong to a woman at the time when she was unclean. 
translate english to pcm	And I said to the angel who was talking to me, Where are they taking the ephah? 	So I ask di angel, “Di basket and di woman wey dey inside, na where dem dey karry dem go?”
translate pcm to english	We just dey play.	We were just playing.
translate pcm to english	Make God ponish mi Abner, If I nor help David get wetin Oga God don promise am.	May God's punishment be on Abner, if I do not for David as the Lord in his oath has said, 
translate pcm to english	And Daniel go soon go there . ( Eccl .	Daniel would soon be going there .
translate english to pcm	Rudolf endured all these trials and , although aged and sickly , was serving as a regular pioneer and an elder when his life story appeared in the August 1 , 1997 , issue of The Watchtower , pages 20 - 25 .	Rudolf endure all this suffer and the time wey we write about im story wey dey August 1 , 1997 , Watchtower , page 20 - 25 , e be regular pioneer and elder , even though sey e don old and e no strong again .
translate english to pcm	He wrote to the persecuted Christians in Thessalonica : “ Having tender affection for you , we were determined to impart to you , not only the good news of God but also our very selves , because you became so beloved to us . ” ​ — 1 Thess .	E tell dem sey : ‘ Because we love una , no be only the good news of God we come give una . We still give una our life , because una be people wey we love well well . ’ — 1 Thess .
translate english to pcm	So that I may come to you in joy by the good pleasure of God, and have rest with you. 	Make una pray give God, so dat I go kom visit una with happiness.
translate english to pcm	Immoral desires can be very powerful and can deprive us of spiritual treasures .	This one fit make us no be Jehovah friend again , and we no go get wetin God promise us .
translate english to pcm	For this reason the Lord has said to them, Truly, I, even I, will be judge between the fat sheep and the thin sheep. 	“So naw, mi God wey get pawa dey tell una sey, I go judge both di strong and di weak sheep.
translate english to pcm	If then you will give worship to me, it will all be yours. 	So, if yu bow down woship mi, I go give yu evritin.”
translate english to pcm	Give no cause of trouble to Jews, or to Greeks, or to the church of God. 	Live yor life so dat yu nor go kause trobol for Jew or Greek pipol or for pipol wey dey God church.
translate english to pcm	They rejected the guidance God had provided .	Dem no gree follow wetin God tell dem .
translate pcm to english	We go still talk about four gift wey Jehovah give us so that e go help us endure as we de preach .	In addition , we will examine four gifts from Jehovah that help us to endure in bearing fruit .
translate pcm to english	( Job 1 : 1 ) Job want do wetin go mek Jehovah happy whether things good or things bad .	Job wanted to please God in good times and in bad times .
translate pcm to english	Dem travel from Marah go Elim; twelf wota fountain and seventy palm tree dey for Elim, so dem kon stay der.	And from Marah they went on to Elim: and in Elim there were twelve water-springs and seventy palm-trees; and they put up their tents there. 
translate pcm to english	Wen dia propaty don dey plenty, trobol go kom skata and distroy am.	Even when his wealth is great, he is full of care, for the hand of everyone who is in trouble is turned against him. 
translate pcm to english	For where dem dey, plenty pig dey chop near der.	Now there was, some distance away, a great herd of pigs taking their food. 
translate english to pcm	They say, Why have we kept ourselves from food, and you do not see it? why have we kept ourselves from pleasure, and you take no note of it? If, in the days when you keep from food, you take the chance to do your business, and get in your debts; 	Di pipol ask, “Wetin make us dey fast and honbol awasef if God nor go ansa us?” God kon tell dem, “Di true bi sey, for di time wey una dey fast, una still dey opress una workers and run follow tins wey una like.
translate english to pcm	For how may I go back to my father without the boy, and see the evil which will come on my father?Then Joseph, unable to keep back his feelings before those who were with him, gave orders for everyone to be sent away, and no one was present when he made clear to his brothers who he was. 	How I won take go back go tell my papa, if di boy nor dey with mi? I nor go fit bear to si my papa sofa for pain.”Josef nor fit kontrol ensef again so e kon sey, “Make evribody komot for my front naw!” Nobody dey der with Josef wen e tell en brodas who e bi.
translate pcm to english	So to dem, na interesting opportunity.	So to them, it was an interesting opportunity.
translate english to pcm	I called him.	I call am.
translate pcm to english	My God Yu know all di sins wey I kommit for sekret; bikos my sins nor fit hide from Yu.	O God, you see how foolish I am; and my wrongdoing is clear to you.
translate english to pcm	And Shechem said to Hamor, his father, Get me this girl for my wife.	So Shekem tell en papa Hamor sey, “Make yu help mi get dis girl make e bi my wife.”
translate pcm to english	Which freedom God give us ?	What is free will ?
translate english to pcm	Jesus gave a clear answer to that question when he said to his opposers : “ Abraham your father rejoiced greatly at the prospect of seeing my day , and he saw it and rejoiced . ”	Jesus answer this question when e tell im enemy sey : ‘ Una papa Abraham happy sey e see the time wey I go come . E see am and e happy well well . ’
translate english to pcm	Master, in the law Moses says, If a man's brother comes to his end, and has a wife still living and no child, it is right for his brother to take his wife, and get a family for his brother. 	“Tisha, Moses rite give us sey: ‘If man broda die and en wife nor born for am, en broda must marry di woman, make dem for born shidren for di broda wey don die.’
translate pcm to english	When e reach house , e come sey make Jehovah Witness come dey study Bible with am two times every week .	Upon returning home , he asked to have a Bible study twice a week .
translate pcm to english	Di first angel blow en own and dem kon trow stone with fire wey mix with blood kom di eart. So if dem divide di eart into three, one part burn finish. And if dem divide di trees wey dey di eart into three, one part with all di green grass, burn finish too.	And at the sounding of the first, a rain of ice and fire, mixed with blood, was sent on the earth: and a third part of the earth, and of the trees, and all green grass was burned up. 
translate english to pcm	The fear of the Lord gives life: and he who has it will have need of nothing; no evil will come his way. 	Obey God and yu go get long life; yu go dey happy and dey save from trobol.
translate english to pcm	And they said, Lord, here are two swords. And he said, It is enough. 	Di disciples kon sey, “Oga God, si two swod for here.” Jesus ansa, “E don do.”
translate english to pcm	Laila ilahlah.	Sey laila ilahlah.
translate pcm to english	My faith for Jehovah come dey strong and I come dey believe Bible well well .	My faith in Jehovah and in the Bible began to grow , and I felt much happier .
translate english to pcm	Free access to Jehovah in prayer is indeed a wonderful expression of his undeserved kindness .	( Eph . 3 : 12 ) True true , we fit talk to Jehovah for prayer because e don show us favor .
translate english to pcm	Before he became a Christian , Paul was “ breathing threat and murder against the disciples of the Lord . ”	( Acts 9 : 1 ) Later , Paul come still talk the kind mind wey e get for Jesus disciples .
translate english to pcm	Babe, how are you?	Babe, how far?
translate english to pcm	By you the ships of Tarshish are broken as by an east wind.	Yu skata dem like di big sheep for Tarshish wey Yu distroy with di wind from east.
translate pcm to english	When Adam and Eve sin , wetin Jehovah talk to give their children hope ?	What encouragement did Jehovah give at the time of the rebellion in Eden ?
translate english to pcm	Why have you made us come out of Egypt into this evil place? This is no place of seed or figs or vines or other fruits, and there is no water for drinking. 	Why yu take us komot from Egypt kom dis evil place where nor-tin dey grow? No korn, fig, grape or pomegranate fruit for here. Wota to drink sef nor even dey!”
translate english to pcm	Then , he was falsely accused of trying to rape his master’s wife and ended up in irons in prison .	No be only that one , when e dey Egypt , im oga wife come lie for im head . E lie sey Joseph try to rape am .
translate pcm to english	But di tin be sey I, me ma, I don, God don show me sey na dat person I go marry.	But the thing is that me, I myself have... God has shown me that it's that person I will marry.
translate pcm to english	Haha.	Haha.
translate pcm to english	Our good character go be like light wey dey shine , so that people go see am and dem go praise Jehovah holy name .	By performing righteous deeds , we let our light shine and thus bring glory to Jehovah’s name .
translate english to pcm	Then they'll go back to their house and start feeling like you don’t exist.	De go con go house, con dey feel like sey you no dey exist.
translate english to pcm	15 : 58 .	15 : 58 .
translate pcm to english	If anytin dey for di bed or di chair wey e sidan put, wen e tosh am e go dey unklean till evening.	Anyone touching anything on the bed or on the thing on which she has been seated, will be unclean till evening. 
translate english to pcm	PEOPLE of the Roman world , among whom the early Christians lived , prided themselves on being champions of law , justice , and freedom .	FOR apostle time , many Christian dey stay for the place wey Rome dey rule . And Rome people like their law , the way dem dey judge matter , and the freedom wey dem get .
translate pcm to english	This topic give us plenty advice from Bible wey go help us plan better thing for our life so that our tomorrow go better .	This article provides sound advice from the Scriptures that will help you to plan a happy and successful future .
translate english to pcm	And your most fertile valleys were full of war-carriages, and the horsemen took up their positions in front of the town. 	Na shariot full Judah valley wey good well-well. Strong Sojas stand for Jerusalem gate.
translate pcm to english	Di seven tin korn kon swallow di seven fat and fine ones. Den Fero wake-up kon si sey na dream e dey dream.	And the seven thin heads made a meal of the good heads. And when Pharaoh was awake he saw it was a dream. 
translate english to pcm	David then gives him the name of Lord, so how is it possible for him to be his son? 	If David koll am ‘Oga God,’ how e kon take bi David pikin?”
translate pcm to english	I tell una true word, na so God angels dey happy, wen one sina turn from sin kom meet God.”	Even so, I say to you, There is joy among the angels of God, when one sinner is turned away from his wrongdoing. 
translate pcm to english	Job, make yu wait small kon listin; konsida all di wonderful tins wey God don do,	Give ear to this, O Job, and keep quiet in your place; and take note of the wonders worked by God. 
translate english to pcm	And you have a great number of workmen, cutters and workers of stone and wood, and experts in every sort of work, 	Yu get many men wey dey work for yu; men wey go make stones and yu still get karpenters too. Yu still get enough men wey go work
translate pcm to english	Di town wey God build by ensef, dey for di holy mountin.	This house is resting on the holy mountain.
translate english to pcm	In fact, I've started working now.	I don even start work now.
translate pcm to english	Di man dey pay me, me, I dey work.	The guy pays me while I work.
translate pcm to english	Make una nor chop di blood, so dat evritin go dey well with una and una shidren-shidren and if una do like dat, belle go sweet God.	Do not take it for food; so that it may be well for you and for your children after you, while you do what is right in the eyes of the Lord. 
translate pcm to english	5 : ​ 1 , 2 .	5 : 1 , 2 .
translate english to pcm	Think about the scene mentioned at the beginning of this article .	You remember wetin dey paragraph one ?
translate pcm to english	Wetin we go learn go help us see why e good to carry body down and why we suppose dey forgive . When we get this two character , we go fit copy how Jehovah take dey judge matter .	A review of these accounts will highlight how humility and a willingness to forgive are related to Jehovah’s view of justice .
translate pcm to english	Dem tie dia enemies kings with shains and dia priests with iron	To put their kings in chains, and their rulers in bands of iron;
translate pcm to english	Bible talk sey Timothy “ come really believe ” wetin e learn .	Timothy was also “ persuaded to believe . ”
translate pcm to english	I dey think whether I fit learn another language and stay for another country .	“ I worried about having to learn a new language and having to adjust to a new environment .
translate english to pcm	And they said to one another, Were not our hearts burning in us while he was talking to us on the way, making clear to us the holy Writings?	Dem kon tell each oda, “No wonder e bi like sey fire dey burn inside awa heart wen e dey tok with us for road about God!”
translate english to pcm	They will bring another man today.	De go bring anoder man today.
translate pcm to english	Den di pipol ask am, “Yu neva old rish fifty years and yu sey yu don si Abraham?”	Then the Jews said to him, You are not fifty years old; have you seen Abraham? 
translate pcm to english	So God give Israel pipol all di land wey E promise dia grand-grand papa and dem win am kon dey stay der.	So the Lord gave to Israel all the land which he gave by oath to their fathers; so it became their heritage and their living-place.
translate english to pcm	Yes , he promoted true worship . ​ — 2 Chron .	True true , e help dem to fit serve Jehovah well . — 2 Chron .
translate english to pcm	For the king has knowledge of these things, to whom I am talking freely; being certain that all this is common knowledge to him; for it has not been done in secret. 	Even di king wey I dey tok to so, I bilive sey e know about all dis tins, bikos dem nor happen for sekret.
translate pcm to english	Many of our brothers and sisters wey dey congregation don old .	Also , many of our older ones sacrifice spending time with their children or grandchildren .
translate english to pcm	And the Lord God made for Adam and for his wife coats of skins for their clothing. 	God use skin take make garment for Adam and en wife kon give dem make dem wear.
translate pcm to english	Step one, method one, na im be dis.	Step one, method one, is this.
translate english to pcm	My heart is fixed, O God, my heart is fixed; I will make songs, and give praise.	My God, I get hope. Yes! I get hope. So I go sing kon praiz yor name.
translate english to pcm	We learn the answers to those questions by considering the arrangement of cities of refuge in ancient Israel .	Jehovah tell dem to build some city wey person fit run go if e kill another person by mistake .
translate english to pcm	So let us personally encourage elders , including circuit overseers , who work hard to care for the flock of God .	So make we by ourself dey do wetin go make elders and even circuit overseer strong , as dem dey try well well to dey care for God sheep .
translate pcm to english	I say ehen so dis guy (e name na Kevwe)... I say so you dey play drum, you dey hide am since, so no wahala!	"I said uhuh, so this guy... (his name is Kevwe), I said, ""so you play drums and you've been hiding your skills, no worries!"""
translate english to pcm	Like a thorn which goes up into the hand of a man overcome by drink, so is a wise saying in the mouth of a foolish man. 	Like shuku-shuku wey shuk drunkard man hand, na so too wise word bi for foolish pesin mout.
translate english to pcm	As a woman with child, whose time is near, is troubled, crying out in her pain; so have we been before you, O Lord. 	Just as woman wey get belle dey kry and shaut with pain wen e won born, na so too wi dey kry from awa heart for Yu wey bi awa Oga God.
translate pcm to english	Make di sun and di moon, praiz am! Make all di stars wey dey shine, praiz am!	Give praise to him, you sun and moon: give praise to him, all you stars of light.
translate pcm to english	Wetin fit happen if we dey open eye do bad things ?	What can happen if we practice sin ?
translate english to pcm	Who makes the signs of those who give word of the future come to nothing, so that those who have knowledge of secret arts go off their heads; turning the wise men back, and making their knowledge foolish: 	Na mi dey fool pipol wey dey si vishon kon make dia work taya dem. I dey shange wise pipol advise to anoda tin kon turn dia wisdom to foolishness.
translate pcm to english	Make yu remember wetin yu don hear and receive and make yu obey dem kon turn from sin kom meet God. If yu nor shine yor eye well, I go kom like tif and yu nor go know di time wen I go kom.	Keep in mind, then, the teaching which was given to you, and be ruled by it and have a change of heart. If then you do not keep watch, I will come like a thief, and you will have no knowledge of the hour when I will come on you. 
translate english to pcm	This brings you even closer to him .	This one go make you near am well well .
translate pcm to english	But any small tin weh you do, you go quick get money.	For any little thing you do, though, you will make money quick.
translate pcm to english	All dis na di land wey dem give Naftali tribe and dia family, plus di big and small town.	This is the heritage of the tribe of the children of Naphtali by their families, these towns with their unwalled places. 
translate pcm to english	Make una dey obey una leaders bikos of Christ. Weda dem bi kings wey get pawa	Keep all the laws of men because of the Lord; those of the king, who is over all, 
translate english to pcm	“ Through the obedience of the one person [ Jesus ] many will be made righteous . ”	Bible talk sey : ‘ Another man [ Jesus ] wey obey God go make many people righteous . ’
translate pcm to english	Den Laban tell am, “Yu really bi my own flesh and blood.” So Jakob stay with Laban for one mont.	And Laban said to him, Truly, you are my bone and my flesh. And he kept Jacob with him for the space of a month. 
translate english to pcm	Because David did what was right in the eyes of the Lord, and never in all his life went against his orders, but only in the question of Uriah the Hittite. 	God do like dis, bikos David do wetin E like and e nor disobey any of en kommand, apart from Uriaya from Hit wey e kill.
translate english to pcm	Nigeria's not even a country anymore.	Nigeria no be country anymore.
translate english to pcm	And the servant said to himself, What am I to do now that my lord takes away my position? I have not enough strength for working in the fields, and I would be shamed if I made requests for money from people in the streets. 	“Den di manaja tell ensef, ‘Wetin I go do naw? My oga won sak mi and I nor strong rish to dig and na shame for mi to go beg.
translate english to pcm	If you go to Ise, it's three thousand!	If you enter Ise, na three k gbam.
translate pcm to english	Where, where dis Naija dey go for dis country?	Where... where are we going in this country?
translate pcm to english	Sey I no go do anyting.	She said I wasn't going to do anything.
translate english to pcm	12 : 21 .	12 : 21 .
translate english to pcm	Then the other three are boys.	Den di three na boys.
translate english to pcm	I will make holy the Tent of meeting and the altar: and Aaron and his sons I will make holy, to be my priests 	I go santify di tent where dem for dey do meetin, di altar, Aaron and en sons, so dat dem go fit serve mi as priest.
translate english to pcm	Rather , hold your songbook up high , lift your head , and sing with heartfelt expression !	Instead , hold your songbook go up , raise your head , and sing from your heart ! ( Ezra 3 : 11 ; read Psalm 147 : 1 . )
translate english to pcm	But the Helper, the Holy Spirit, whom the Father will send in my name, will be your teacher in all things and will put you in mind of everything I have said to you. 	But di pesin wey go help una na di Holy Spirit, wey my Papa go send kom for my name. E go tish una evritin and e go help una remember evritin wey I don tell una.
translate pcm to english	Wetin we go put for mind when we dey choose the kind cloth wey we go wear ?	What should guide our personal choice as to our dress ?
translate english to pcm	In his Sermon on the Mount , Jesus gave excellent advice about handling disagreements or potential conflicts .	The time wey Jesus dey on top mountain dey teach ( Sermon on the Mount ) , e give correct advice wey go help us know wetin we go do for matter wey fit cause quarrel or if quarrel don already dey .
translate pcm to english	I dey fine.	I'm fine.
translate english to pcm	Then the king, taking his place by the pillar, made an agreement before the Lord, to go in the way of the Lord, and to keep his orders and his decisions and his rules with all his heart and with all his soul, and to keep the words of the agreement recorded in this book. 	Di king stand near di pila kon make new kovenant with God sey dem go follow en kommand, laws and rules wey dem rite for di book with all dia heart.
translate english to pcm	So the king of the north will come, and put up earthworks and take a well-armed town: and the forces of the king of the south will make an attempt to keep their position, even the best of his army, but they will not have strength to do so. 	Den Siria king go katch and take one strong town. Di sojas wey dey Egypt nor go fight again; even di best sojas wey dey with dem nor go get pawa again.
translate english to pcm	I'm not great.	I no dey o.
translate english to pcm	Then Israel gave voice to this song: Come up, O water-spring, let us make a song to it: 	Den Israel pipol kon sing dis song: “Make dis well kom up kon sing to God!
translate english to pcm	But crying out they said, To the cross with him! 	But dem still dey shaut, “Kill- am trowey, Kill-am trowey!”
translate pcm to english	from Judah tribe, e send Kaleb wey Jefunneh born;	Of the tribe of Judah, Caleb, the son of Jephunneh. 
translate pcm to english	Dem Use Their Mind Do the Work ( single sisters ) , Jan .	5 I Did Not Want to Die !
translate english to pcm	So people don't get sick in Jos anyways because our weather is good, our food is good, and it's not expensive.	So Jos people no dey sick anyhow sha because our weather good, our food good, and e no cost.
translate english to pcm	Do you see the benefit of reviewing how the four kings of Judah whom we have considered served Jehovah with a complete heart ?	You learn anything from this topic about the four king wey use all their mind serve Jehovah ?
translate pcm to english	Den Josef orda sey make dem put food for dia bag kon put evribody money for dia bag back kon sey make dem help dem for dia journey. So en ofisas do as e tok.	Then Joseph gave orders for their bags to be made full of grain, and for every man's money to be put back into his bag, and for food to be given them for the journey: which was done. 
translate pcm to english	Ehe!	Ehe!
translate english to pcm	And you gave your good spirit to be their teacher, and did not keep back your manna from their mouths, and gave them water when they had need of it. 	Yu send yor good Spirit make e tell dem wetin dem go do and Yu nor stop to give dem manna chop and wota to drink.
translate english to pcm	And the son of the Israelite woman said evil against the holy Name, with curses; and they took him to Moses. His mother's name was Shelomith, the daughter of Dibri, of the tribe of Dan. 	As dem dey fight, di Israel woman pikin kon curse God name, so dem take dem go meet Moses. (En mama name na Shelomit wey bi Dibri pikin from Dan tribe.)
translate pcm to english	Oloun sanu wa.	Lord have mercy.
translate pcm to english	Praise Jehovah With the Way You Dey Dress , Sept .	Prove Yourself Loyal to Jehovah , Feb .
translate english to pcm	For truly I am for you, and I will be turned to you, and you will be ploughed and planted: 	I dey una side; I go make sure sey una land dey good and una go fit plant put again.
translate english to pcm	It was my friend's dad.	Na my friend papa.
translate pcm to english	All of dem dey use all their power preach , as dem dey wait for God Kingdom .	See Jehovah’s Witnesses ​ — Proclaimers of God’s Kingdom , chap .
translate pcm to english	5 : 1 , 2 ) Which blessing fit pass this one ?	What a blessing this is !
translate pcm to english	E kon free Barabas, wey di pipol wont, wey dem bin put for prison, bikos e kause wahala and kill pesin for di town.	And in answer to their request, he let that man go free who had been in prison for acting against the government and causing death, and Jesus he gave up to their pleasure. 
translate pcm to english	go heaven kon go sidan for God rite hand, where e dey rule di angels and doz wey get pawa.Since Christ don sofa for us, make wi do like am, bikos di pesin wey sofa for us nor get anytin to do with sin again,	Who has gone into heaven, and is at the right hand of God, angels and authorities and powers having been put under his rule.So that as Jesus was put to death in the flesh, do you yourselves be of the same mind; for the death of the flesh puts an end to sin; 
translate pcm to english	Di disciples look each oda kon dey worry and tink for dia mind sey, “Wish pesin e dey tok about?”	Then the eyes of the disciples were turned on one another, in doubt as to whom he had in mind. 
translate english to pcm	After learning basic forms of address and memorizing a one - minute magazine presentation , we were invited to begin engaging in the field service .	Before we start to preach , we learn how to greet people . We still practice how we go use one minute talk when we want give people magazine .
translate pcm to english	Because as we take get many part for one body , but all the part no dey do the same work , na so we , even though we many , be one body with Christ . ’ ​ — Rom .	For just as we have in one body many members , but the members do not all have the same function , so we , although many , are one body in union with Christ . ” ​ — Rom .
translate english to pcm	For example , a baptized adolescent may seem attracted to the things of the world or may begin to question the wisdom of living by Bible principles .	For example , e fit start to like the things wey dey this world . Or e fit talk sey e no make sense to follow wetin Bible talk .
translate english to pcm	"Someone who had this disease took this one... it's this one... it cured him at the time."""	Person wey e sick dis one, na dis one e take cure am one time.
